dataset,objectness_uncertainty,objectness_entropy,weighted_variance_sum,weighted_entropy
GC10-DET,0.005720708,0.4882655362288157,0.00042114694108486483,0.14631455235416688
GC10-DET_MedianBlur_15,0.0071144802,0.5065679433553115,0.000787745064613873,0.1429607934897589
GC10-DET_MedianBlur_29,0.0064285165,0.5434529428579369,0.00029711935108961207,0.15049649800675163
GC10-DET_MedianBlur_43,0.0069683515,0.5384614302923805,0.0001855315632284982,0.13784237528231957
GC10-DET_MedianBlur_57,0.007929357,0.525275490407286,0.00026816217303240265,0.13449751969199567
GC10-DET_MedianBlur_71,0.0091947615,0.5067801975778171,0.0002768007224890559,0.12967789065650967
GC10-DET_BilateralBlur_60,0.006167823,0.49546959742586666,0.0006442380882594685,0.14494313237714285
GC10-DET_BilateralBlur_120,0.0065773367,0.47401506702105206,0.000260096570232537,0.1441635467104338
GC10-DET_BilateralBlur_180,0.006009367,0.4930630147457123,0.00032825269322901067,0.1452721585465032
GC10-DET_BilateralBlur_240,0.0060696173,0.5069526396691799,0.00020220854749697885,0.1359939369981559
GC10-DET_BilateralBlur_300,0.0075047556,0.5245324485003948,0.00037421222724428547,0.13808661486186133
GC10-DET_Sharpening_0.5,0.0058149816,0.4864616714991056,0.0003071952716010431,0.14779683369900498
GC10-DET_Sharpening_1.5,0.005839339,0.4922011982778023,0.000810369040943975,0.14884362640073903
GC10-DET_Sharpening_2.0,0.0061778277,0.49805287554346284,0.0011263725479179086,0.14919701345640715
GC10-DET_Sharpening_2.5,0.0062761516,0.5740732178092003,0.0013259347412448673,0.1523609496857696
GC10-DET_Sharpening_3,0.0063227047,0.5888122217013285,0.0016348592064340433,0.1554769503044798
GC10-DET_Transform_Scale_0.0:0.05,0.0060872766,0.4863195632894834,0.0005091314683898427,0.14362172600319534
GC10-DET_Transform_Scale_0.05:0.1,0.0062695835,0.4977834573039761,0.0007721311554877692,0.14273052309945503
GC10-DET_Transform_Scale_0.1:0.15,0.0064905365,0.5163685778776804,0.0008116332422609651,0.13688349695126373
GC10-DET_Transform_Scale_0.15:0.2,0.006070883,0.4749378561973572,0.000739439842618095,0.13688331494855055
GC10-DET_Transform_Scale_0.2:0.25,0.0056906147,0.5472083655687479,0.0006825427915219003,0.14885003175424466
GC10-DET_Transform_Scale_0.25:0.3,0.006146873,0.4756836188982611,0.0011408206182376996,0.12758318779921246
GC10-DET_brightness_-150,0.009960213,0.4403937518596649,0.0017916162230974032,0.1321887380690862
GC10-DET_brightness_-100,0.007381233,0.48877811118176107,0.001197468694070818,0.14479725565673535
GC10-DET_brightness_-50,0.0063005737,0.5010819246894435,0.0006227318500833261,0.14450287757477162
GC10-DET_brightness_-30,0.0059571117,0.489666685461998,0.0006338798861003085,0.14441645359025443
GC10-DET_brightness_-20,0.0059131775,0.49750163625268373,0.0005809014442373614,0.1454939094740677
GC10-DET_brightness_-15,0.0059054275,0.4911356328464136,0.0006208959932896248,0.14444975833676685
GC10-DET_brightness_-10,0.005888449,0.4962826371192932,0.0005666003572128349,0.14675978662120892
GC10-DET_brightness_10,0.0058110347,0.4936304899553458,0.0005006045840906169,0.1451022580059879
GC10-DET_brightness_20,0.0058475244,0.487784465154012,0.0004854985726516087,0.14408833342594057
GC10-DET_brightness_30,0.005789206,0.4979391919242011,0.0004063170031661051,0.14566116660272377
GC10-DET_brightness_50,0.005905644,0.4877837915369805,0.0003959511502592626,0.14438692852328808
GC10-DET_brightness_60,0.0056343023,0.4961484382229467,0.00037068621451857007,0.14459659058722057
GC10-DET_brightness_70,0.005609484,0.4881414102785515,0.00036157805650489857,0.14372201854316133
GC10-DET_brightness_90,0.0055460515,0.4851982358730201,0.0004086340694651559,0.14578400029497965
dataset,objectness_uncertainty,objectness_entropy,weighted_variance_sum,weighted_entropy
GC10-DET_Sharpen_5,0.0050353385,0.5063551180064678,0.0022176611309128102,0.14672738477686895
GC10-DET_Sharpen_10,0.0055820504,0.48296346962451936,0.0036872067983782183,0.14808737475020928
GC10-DET_Sharpen_15,0.0067257653,0.5712373144924641,0.005543904619160441,0.1472900509286126
GC10-DET_Sharpen_20,0.008043319,0.45561919927597044,0.00613602999378958,0.14705258739593285
GC10-DET_Sharpen_25,0.00870925,0.5221641138195992,0.005938187622572036,0.1467829806632876
