dataset,predict,number
GC10-DET_brightness_-15,0.6321631012372635,229
GC10-DET_Transform_Scale_0.0:0.05,0.562025490393013,229
GC10-DET_Transform_Scale_0.15:0.2,0.48915779028384276,229
GC10-DET_MedianBlur_29,0.3933537963245997,229
GC10-DET_brightness_50,0.5940889852620087,229
GC10-DET_brightness_110,0.49798742008733626,229
GC10-DET_brightness_-150,0.7807408698689957,229
GC10-DET_GaussianBlur_3,0.5849249951601163,229
GC10-DET_brightness_-20,0.6519839866812227,229
GC10-DET_Transform_Scale_0.05:0.1,0.5156964009097526,229
GC10-DET_GaussianBlur_7,0.5227006557496361,229
GC10-DET_BilateralBlur_300,0.13222984639737992,229
GC10-DET_Transform_Scale_0.1:0.15,0.4866013850800583,229
GC10-DET_Sharpen_5,0.6898362721979622,229
GC10-DET_BilateralBlur_60,0.41024261994177574,229
GC10-DET_brightness_70,0.5910942734352255,229
GC10-DET_GaussianBlur_11,0.5045117747816594,229
GC10-DET_GaussianBlur_17,0.47117885422125183,229
GC10-DET_Sharpening_1.5,0.540008161062591,229
GC10-DET_BilateralBlur_120,0.2541187137554585,229
GC10-DET_Transform_Scale_0.25:0.3,0.4997555554585152,229
GC10-DET_Sharpen_10,0.7539281456331877,229
GC10-DET_GaussianBlur_15,0.4805090840975255,229
GC10-DET_Sharpening_2.0,0.4266762672489083,229
GC10-DET_MedianBlur_43,0.3516865094614265,229
GC10-DET_Sharpening_3,0.46336076222707423,229
GC10-DET_MedianBlur_71,0.33766441968704514,229
GC10-DET,0.6177824847877791,1822
GC10-DET_GaussianBlur_9,0.5127599042212518,229
GC10-DET_MedianBlur_57,0.34436551746724886,229
GC10-DET_BilateralBlur_240,0.16408348020378458,229
GC10-DET_brightness_30,0.592518970378457,229
GC10-DET_MedianBlur_15,0.45366251299126636,229
GC10-DET_GaussianBlur_5,0.5440233056768559,229
GC10-DET_brightness_-30,0.654823586462882,229
GC10-DET_Transform_Scale_0.2:0.25,0.4828229126637555,229
GC10-DET_brightness_-10,0.644066825691412,229
GC10-DET_Sharpening_2.5,0.41060819148471617,229
GC10-DET_brightness_10,0.5915794018922853,229
GC10-DET_Sharpen_15,0.772604011135371,229
GC10-DET_brightness_90,0.5298706949053857,229
GC10-DET_Sharpen_20,0.7777640552401747,229
GC10-DET_BilateralBlur_180,0.20236041062590973,229
GC10-DET_Sharpen_25,0.7814806823144105,229
GC10-DET_brightness_20,0.5855038124090247,229
GC10-DET_brightness_-100,0.7684444955604076,229
GC10-DET_brightness_60,0.6194909562590976,229
GC10-DET_brightness_-50,0.6801398946506549,229
GC10-DET_GaussianBlur_13,0.4894473487991266,229
GC10-DET_Sharpening_0.5,0.6574244975982533,229
