,p,r,mAP50,mAP50:95
0,0.48,0.393,0.386,0.164
1,0.595,0.58,0.6,0.288
2,0.664,0.57,0.604,0.293
3,0.581,0.639,0.614,0.304
4,0.612,0.558,0.598,0.296
5,0.642,0.578,0.598,0.297
6,0.626,0.582,0.601,0.294
7,0.645,0.597,0.622,0.31
8,0.627,0.57,0.595,0.294
9,0.578,0.608,0.581,0.291
10,0.613,0.576,0.591,0.296

11,0.424,0.444,0.405,0.184
12,0.712,0.562,0.612,0.3
13,0.635,0.576,0.586,0.282
14,0.639,0.653,0.635,0.286
15,0.637,0.632,0.62,0.295
16,0.588,0.616,0.627,0.306
17,0.776,0.588,0.634,0.303
18,0.646,0.613,0.616,0.292
19,0.564,0.618,0.603,0.283
20,0.578,0.65,0.627,0.292
21,0.613,0.583,0.588,0.283
